Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.895,0.7083333333333334,1.0,0.8292682926829268,0.957757599684169
Logistic Regression,0.885,0.7,0.9607843137254902,0.8099173553719008,0.9485458612975392
SVM,0.88,0.7076923076923077,0.9019607843137255,0.7931034482758621,0.948414265034873
XGBoost,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9405184892749046
KNN,0.86,0.7169811320754716,0.7450980392156863,0.7307692307692307,0.9355178312935912
Naive Bayes,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9342018686669298
Decision Tree,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9230161863403079
