Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC,MCC,CV ROC-AUC Mean,CV ROC-AUC Std,False Negatives,False Positives
Random Forest,0.895,0.7083333333333334,1.0,0.8292682926829268,0.957757599684169,0.8335467298517747,0.7800648169019243,0.9589205011272803,0.01991429085831471,0,21
Logistic Regression,0.885,0.7,0.9607843137254902,0.8099173553719008,0.9485458612975392,0.7617129947737695,0.749185094519345,0.9674183148869304,0.013484565735339592,2,21
SVM,0.88,0.7076923076923077,0.9019607843137255,0.7931034482758621,0.948414265034873,0.8116024924848457,0.7206836714610665,0.9649284347885496,0.017739517727634595,5,19
Stacking Ensemble (RF+XGB+DT -> LR),0.895,0.7083333333333334,1.0,0.8292682926829268,0.9419660481642321,0.7603813732154273,0.7800648169019243,0.9668282349525177,0.015552638346495699,0,21
Voting Ensemble (RF+XGB+DT),0.895,0.7083333333333334,1.0,0.8292682926829268,0.9415712593762338,0.7597035883163165,0.7800648169019243,0.9669068456650954,0.015485512521795761,0,21
XGBoost,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9405184892749046,0.7714199208494282,0.7800648169019243,0.965385931201749,0.015364852097087845,0,21
KNN,0.86,0.7169811320754716,0.7450980392156863,0.7307692307692307,0.9355178312935912,0.7406908517905157,0.6364367943517442,0.9614707761153243,0.014775856126710618,13,15
Naive Bayes,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9342018686669298,0.8502917233588869,0.7800648169019243,0.9542053272528523,0.012831767974348427,0,21
Decision Tree,0.895,0.7083333333333334,1.0,0.8292682926829268,0.9230161863403079,0.7449416684236418,0.7800648169019243,0.9660807585229213,0.016307819641842754,0,21
